U,theta_0,theta_diff,theta_1c,theta_1s,theta,phi,v_i1,v_i2,Prop_theta_0,Prop_isEnable,theta_1c_diff,theta_1s_diff,delta_e,delta_r,v_01,v_02,beta_01,beta_1c1,beta_1s1,beta_02,beta_1c2,beta_1s2,power_total_LowerRotor,power_total_UpperRotor,power_total_Prop,power_total
54,0.215043655195815,0.00308333279822667,0.00220309362351783,-0.0358505786579013,0.0272997011097338,0.000484542525238263,1.92247288258585,2.38849383857625,0.0875871019772868,1,0,0,0,0,2.94542885477187,2.58153553437241,0.015551338688121,-0.00836010685566021,-0.0115672638903898,0.0196740319733763,-0.0141360615290216,-0.0124570281177201,236768.861889684,272427.906814465,14599.485687073,523796.254391222
55,0.215194826735931,0.00313106878220348,0.00219359903353407,-0.036421998621098,0.0264615134546671,0.00045537759957606,1.88878366865505,2.34517874760603,0.0879478281251839,1,0,0,0,0,2.8535093046704,2.51068840453327,0.0155515242486842,-0.00832290180623202,-0.0112855625737346,0.0196655647852727,-0.0142312716584372,-0.0121916084314808,236825.547350277,271758.309679497,14687.1022784348,523270.959308208
56,0.215423678179841,0.00315904839471969,0.00217784981870525,-0.0370547422013391,0.025594650677062,0.000428491893463268,1.85727129010961,2.30254955166336,0.0879366258632603,1,0,0,0,0,2.76704663223866,2.44457765960466,0.0155621117060406,-0.00828399088338525,-0.0110355841704713,0.0196503725638485,-0.0142960721354337,-0.0119539802037365,237011.608647096,271104.460713038,14773.9906611383,522890.060021272
57,0.21562500019033,0.00319746442431136,0.00216934081358332,-0.0376513033191697,0.0248829621682993,0.000403140293802895,1.82632809632879,2.26167594338114,0.0894244063067877,1,0,0,0,0,2.68464995442386,2.38355427567363,0.0155670921709346,-0.00826359831738217,-0.0107834828233674,0.0196371646461021,-0.014399243575564,-0.0117249942538477,237218.481775058,270559.678364114,14872.4216762043,522650.581815375
58,0.21598400008251,0.00319422345808848,0.00214523367713732,-0.0383893542493729,0.0239932043924379,0.00038135189779713,1.79839083993073,2.22072628783422,0.0890435465218192,1,0,0,0,0,2.60788905965481,2.32546382016746,0.0155934231441554,-0.00822217866031693,-0.0105872318552252,0.0196121211863633,-0.0144151502615912,-0.011535876905074,237616.300748578,269972.881367932,14960.209037994,522549.391154504
59,0.216293917888972,0.003209386179432,0.00213167269816969,-0.0390724664783842,0.0232807593784026,0.000360753821762339,1.77047374649941,2.18177109355658,0.0903911844968149,1,0,0,0,0,2.53435787038313,2.2717552436234,0.0156097396156201,-0.00820050604240105,-0.0103805270472083,0.0195921324203655,-0.0144830836803144,-0.0113493765904819,238001.08504546,269521.269048745,15061.0967978163,522583.450892021
60,0.216648668849631,0.00321662127675498,0.00211713804381448,-0.0397915972708631,0.0225770426416265,0.000342441224837645,1.74378175426462,2.14386564528179,0.091754975232324,1,0,0,0,0,2.46474706174822,2.22121034000932,0.0156296666815431,-0.00817808405404494,-0.010192604463777,0.0195702595667349,-0.0145387942346614,-0.0111811886711889,238457.762464488,269128.012642014,15163.9473348266,522749.722441329
61,0.217078734705531,0.00320694725628039,0.00209782684241599,-0.040578476055574,0.0218319872986992,0.000327047091133963,1.71865965682058,2.10667912697231,0.0926476451151023,1,0,0,0,0,2.39914132445284,2.17320634948227,0.0156577918561972,-0.00814812984372741,-0.0100329186323348,0.0195441232541161,-0.0145595681153,-0.0110363658463008,239011.95389834,268767.804477483,15265.3335092048,523045.091885028
62,0.217458005487736,0.0032196850250505,0.00209017760375522,-0.0413084905273011,0.0212382627519572,0.000312066635274174,1.69326117120579,2.07149109519371,0.0949524651887301,1,0,0,0,0,2.33594681500389,2.12869055345038,0.0156737662829607,-0.00813321818014814,-0.00985992205423172,0.019525258050347,-0.0146352634556621,-0.0108906607133931,239537.36891317,268550.632515542,15378.6814445484,523466.68287326
63,0.218004050611328,0.00318734859276914,0.00206589861236461,-0.0422009733651783,0.0204625217508238,0.000302024007625736,1.67058817442863,2.03601986144417,0.0954422386771044,1,0,0,0,0,2.277328290317,2.08527162434997,0.0157124408102375,-0.00809251798103946,-0.00974431838495678,0.0194941609574538,-0.0146077015552834,-0.0107846025243425,240243.650551788,268286.823986146,15480.6246216718,524011.099159606
64,0.218575658689144,0.00315414259071835,0.00204341312793689,-0.0431158787886311,0.0197205906296643,0.000294021900533707,1.64858997381509,2.00170323758938,0.0962095591621478,1,0,0,0,0,2.22155215623591,2.04412129503965,0.0157510100430279,-0.0080514129338271,-0.00963961044157868,0.0194637457406514,-0.0145780753823012,-0.0106911966088458,240990.175520274,268099.413922361,15586.3135341385,524675.902976774
65,0.219085591288581,0.00314866653191062,0.00203442170780476,-0.0439636613322017,0.0191295234315203,0.00028572280102481,1.6259972056489,1.9694184856138,0.0983597175469982,1,0,0,0,0,2.1674561748366,2.00592994253978,0.0157746976592356,-0.00802386151463383,-0.00951648821619682,0.0194427041809686,-0.0146118029924538,-0.0105926993964186,241689.67182772,268063.891343255,15704.3618368385,525457.925007813
66,0.219727301368444,0.00310891283927432,0.0020131804462076,-0.0449440548474358,0.0184164184915308,0.000281898482911767,1.60548194149736,1.93711689827518,0.0993074213035237,1,0,0,0,0,2.11703510270786,1.96858037690306,0.01581559514346,-0.00797608232122769,-0.00943852391675996,0.0194125558199155,-0.0145637513010226,-0.0105265001396043,242529.586151205,268010.134159196,15814.9635837163,526354.683894118
67,0.220223769590002,0.00312621449156905,0.00201721158853216,-0.0457695646425988,0.0179521130420887,0.000274984404278327,1.58310673957229,1.90767918932953,0.102497044543137,1,0,0,0,0,2.06698803742101,1.93475450639686,0.0158265102330133,-0.00795243130018797,-0.00931339369144319,0.0194010938737653,-0.0146446541372392,-0.0104372814248134,243236.021335424,268181.344974176,15946.0444756563,527363.410785256
