iter	Passed	Remaining
1581	25277	6678
1582	25301	6665
1583	25314	6648
1584	25337	6634
1585	25353	6618
1586	25372	6602
1587	25384	6586
1588	25393	6568
1589	25406	6551
1590	25417	6534
1591	25425	6516
1592	25434	6498
1593	25460	6484
1594	25482	6470
1595	25502	6455
1596	25512	6438
1597	25527	6421
1598	25535	6403
1599	25564	6391
1600	25587	6376
1601	25615	6364
1602	25631	6347
1603	25640	6330
1604	25660	6315
1605	25680	6300
1606	25709	6287
1607	25718	6269
1608	25731	6252
1609	25745	6236
1610	25757	6219
1611	25766	6201
1612	25775	6184
1613	25783	6166
1614	25795	6149
1615	25807	6132
1616	25815	6114
1617	25824	6097
1618	25833	6079
1619	25846	6062
1620	25857	6045
1621	25877	6030
1622	25895	6015
1623	25912	5999
1624	25926	5983
1625	25940	5966
1626	25952	5949
1627	25964	5932
1628	25974	5915
1629	25983	5898
1630	25995	5881
1631	26008	5864
1632	26019	5847
1633	26027	5829
1634	26043	5813
1635	26054	5797
1636	26073	5781
1637	26103	5768
1638	26159	5761
1639	26174	5745
1640	26190	5729
1641	26200	5712
1642	26214	5695
1643	26223	5678
1644	26234	5661
1645	26249	5645
1646	26268	5630
1647	26309	5619
1648	26318	5602
1649	26346	5588
1650	26354	5571
1651	26364	5553
1652	26373	5536
1653	26394	5521
1654	26402	5503
1655	26411	5486
1656	26420	5468
1657	26440	5453
1658	26451	5437
1659	26461	5419
1660	26488	5406
1661	26503	5389
1662	26521	5374
1663	26545	5360
